Problem;BestResult;None;Random;Best
A38;1530;2053;1990;2122
A43;5620;5668;5681;5625
A44;1613;2343;2366;2445
A47;1776;2661;2632;2610
A48;14422;18450;19146;15100
A53;6905;9560;9872;9718
A55;1608;2572;2427;2721
A64;1839;3402;2972;3188
A70;38673;44789;44708;45310
A124;36230;78479;67616;54738
S41;1317;1861;1723;1460
S46;1982;2567;2610;2072
S54;1411;2116;2025;1523
S64;1672;2709;2424;1883
S80;1156;2412;2195;1229
S88;2822;5396;4772;3115
S104;2109;4590;3880;2253
S113;2059;5845;4781;2253
S114;2818;7231;5800;3231
S116;3648;8017;6703;4074